"ACCOUNT","ACCOUNT NAME","ORG"," "," ","BEG. BALANCE","DEBITS","CREDITS","NET CHANGE","END BALANCE"
"PER","JNL","SRC","EFF DATE","REFERENCE"
"*12","   675","FAM","06/23/25","       ASSET MAINT                 "," ","           19,398.25","                 .00","          698,229.68"
"*12","   676","FAM","06/23/25","       ASSET MAINT                 "," ","           19,398.25","                 .00","          717,627.93"
"*12","   677","FAM","06/23/25","       ASSET MAINT                 "," ","           20,094.80","                 .00","          737,722.73"
"*12","   680","FAM","06/04/25","       ASSET MAINT                 "," ","            6,184.15","                 .00","          743,906.88"
" "," "," "," "," ","       19,253,920.49","          906,750.68","          162,843.80","          743,906.88","       19,997,827.37"
"80000    1851                                          ","A/D-Machinery/Equipment       ","__80000   "," "," ","      -13,533,178.32"
"* 1","  2484","FAM","07/01/24","       ASSET MAINT                 "," ","           26,434.00","                 .00","           26,434.00"
"* 8","   159","FAR","02/04/25","       ASSET DISP                  "," ","           97,621.00","                 .00","          124,055.00"
"* 8","   718","FAR","02/13/25","       ASSET DISP                  "," ","           38,788.80","                 .00","          162,843.80"
"*10","   705","FAM","04/30/25","       ASSET MAINT                 "," ","                 .00","           19,900.80","          142,943.00"
" "," "," "," "," ","      -13,533,178.32","          162,843.80","           19,900.80","          142,943.00","      -13,390,235.32"
"80000    1860                                          ","Leased Equipment              ","__80000   "," "," ","        1,800,300.78"
"*10","   712","FAR","04/22/25","       ASSET DISP                  "," ","                 .00","          164,487.00","         -164,487.00"
"*12","   666","FAA","06/27/25","       ASSET ACQN                  "," ","          213,287.56","                 .00","           48,800.56"
" "," "," "," "," ","        1,800,300.78","          213,287.56","          164,487.00","           48,800.56","        1,849,101.34"
"80000    1861                                          ","A/D-Leased Machinery/Equipemnt","__80000   "," "," ","         -615,573.93"
"*10","   712","FAR","04/22/25","       ASSET DISP                  "," ","          163,077.11","                 .00","          163,077.11"
"*10","   712","FAD","04/22/25","       ASSET DISP                  "," ","                 .00","           14,098.87","          148,978.24"
" "," "," "," "," ","         -615,573.93","          163,077.11","           14,098.87","          148,978.24","         -466,595.69"
"80000    3101                                          ","Investment in Capital Assets  ","__80000   "," "," ","     -109,915,018.49"
"* 2","   390","FAA","08/21/24","       ASSET ACQN                  "," ","                 .00","          251,041.00","         -251,041.00"
"* 4","   694","FAA","10/07/24","       ASSET ACQN                  "," ","                 .00","           45,446.67","         -296,487.67"
"* 4","   695","FAA","10/07/24","       ASSET ACQN                  "," ","                 .00","           45,446.67","         -341,934.34"
"* 4","   696","FAA","10/07/24","       ASSET ACQN                  "," ","                 .00","           45,446.67","         -387,381.01"
"* 5","   489","FAA","11/20/24","       ASSET ACQN                  "," ","                 .00","           56,316.00","         -443,697.01"
"* 7","   589","FAA","01/17/25","       ASSET ACQN                  "," ","                 .00","           46,294.00","         -489,991.01"
"* 7","   590","FAM","01/17/25","       ASSET MAINT                 "," ","                 .00","            2,996.00","         -492,987.01"
"* 8","   159","FAR","02/04/25","       ASSET DISP                  "," ","           26,590.00","                 .00","         -466,397.01"
"* 8","   696","FAA","02/24/25","       ASSET ACQN                  "," ","                 .00","           43,963.00","         -510,360.01"
